corp_name,corp_code,stock_code,ceo_name,industry_code
(주)웅진,00143651,016880,"윤새봄, 이수영 각자대표",715
에이치엘만도(주),01042775,204320,"조성현, 김현욱 (각자대표)",303
(주)우리금융지주,01350869,316140,임종룡,64992
(주)한진,00163512,002320,노삼석,49309
(주)인팩,00180795,023810,"최웅선,최장돈",303
(주)진양홀딩스,00646732,100250,"양준영, 최창호(각자대표이사)",222
(주)엠씨넥스,00564562,097520,민동욱,26519
(주)케이비스타위탁관리부동산투자회사,01622720,432320,신명재,68112
(주)엘앤에프,00398701,066970,최수안,28202
한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),00907013,152550,한국투자리얼에셋운용,642
(주)경인양행,00102113,012610,"김흥준,조성용 (각자대표이사)",20132
이연제약(주),00145598,102460,"정순옥, 유용환 (각자 대표이사)",212
(주)티비에이치글로벌,00409672,084870,우종완,141
써니전자(주),00138057,004770,차상권,262
디엘 주식회사,00109693,000210,김종현,20111
한화위탁관리부동산투자회사(주),01669226,451800,한화자산운용,68112
케이씨그린홀딩스(주),00159971,009440,이태영,64992
(주)동인기연,00367710,111380,정인수,151
(주)미래아이앤지,00104786,007120,김학수,620
(주)경농,00101433,002100,"이병만,이용진",2032
대림통상(주),00109824,006570,"고은희, 손병국",25993
삼성공조(주),00126201,006660,고호곤,30399
(주)유니드,00159786,014830,"정의승, 이우일",20129
(주)유니드비티플러스,01702017,446070,한상준,16102
네이버(주),00266961,035420,최수연,63120
주식회사 이수스페셜티케미컬,01762569,457190,류승호,20111
범양건영(주),00122694,002410,강병주,411
(주)이리츠코크렙기업구조조정부동산투자회사,00544452,088260,김영규,68112
(주)하나금융지주,00547583,086790,함영주,64992
삼성물산(주),00149655,028260,"오세철, 정해린, 이재언",467
(주)BNK금융지주,00858364,138930,빈대인,64992
(주)한샘,00161693,009240,김유진(대표집행임원),46431
(주)현대지에프홀딩스,00105280,005440,"정지선, 장호진 (각자 대표이사)",64992
(주)아이에이치큐,00154426,003560,오준,591
사조씨푸드(주),00124780,014710,김치곤,102
삼성화재해상보험(주),00139214,000810,이문화,65121
화천기계(주),00166500,010660,"권형석, 권형운 (공동대표이사)",29223
대성에너지(주),00787376,117580,대표이사 김영훈 대표이사 박문희,35200
티케이지휴켐스(주),00426086,069260,김우찬,2049
미원상사(주),00121932,002840,"홍창식, 강신우(각자대표)",204
에이치엘홀딩스(주),00299002,060980,"김광헌, 김준범",64992
(주)LG생활건강,00356370,051900,이정애,20422
에스케이바이오팜 주식회사,00878696,326030,이동훈,7011
에스케이케미칼(주),01267170,285130,"김철, 안재현",20202
(주)에스제이엠홀딩스,00181943,025530,"김용호, 김휘중(각자대표이사)",452
(주)후성,00595191,093370,김용민,20129
주식회사 신성이엔지,00136271,011930,이지선,2612
조일알미늄(주),00149239,018470,"이영호,성원모",24222
가온전선(주),00104768,000500,정 현,28302
(주)디알비동일,00118266,004840,류영식,221
(주)신한금융지주회사,00382199,055550,진옥동,64992
흥아해운(주),00167208,003280,이환구,50112
롯데렌탈(주),00545716,089860,최진환,76110
피아이첨단소재(주),00767460,178920,송금수,2221
일진하이솔루스(주),00972503,271940,양성모,319
에이치디현대건설기계(주),01205842,267270,최철곤,291
광전자(주),00152729,017900,최재완,2612
현대글로비스(주),00360595,086280,이규복,5299
